,volume,part,chapter,text,cs,num-switches-intraturn,num-switches-interturn,num-switches-intrasent
0,Том_1,1,1,"['\n', '—', 'Eh', 'bien', ',', 'mon', 'prince', '.', 'Gênes', 'et', 'Lucques', 'ne', 'sont', 'plus', 'que', 'des', 'apanages', ',', 'des', 'поместья', ',', 'de', 'la', 'famille', 'Buonaparte', '.', 'Non', ',', 'je', 'vous', 'préviens', ',', 'que', 'si', 'vous', 'ne', 'me', 'dites', 'pas', ',', 'que', 'nous', 'avons', 'la', 'guerre', ',', 'si', 'vous', 'vous', 'permettez', 'encore', 'de', 'pallier', 'toutes', 'les', 'infamies', ',', 'toutes', 'les', 'atrocités', 'de', 'cet', 'Antichrist', '(', 'ma', 'parole', ',', 'j’y', 'crois', ')', '—', 'je', 'ne', 'vous', 'connais', 'plus', ',', 'vous', 'n’êtes', 'plus', 'mon', 'ami', ',', 'vous', 'n’êtes', 'plus', 'мой', 'верный', 'раб', ',', 'comme', 'vous', 'dites', '.', 'Ну', ',', 'здравствуйте', ',', 'здравствуйте', '.', 'Je', 'vois', 'que', 'je', 'vous', 'fais', 'peur', ',', 'садитесь', 'и', 'рассказывайте', '.']","['', '', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'ru', 'ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', '', 'ru', '', 'ru', '', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'ru', 'ru', 'ru', '']",7,0,3
1,Том_1,1,1,"['«', 'Si', 'vous', 'n’avez', 'rien', 'de', 'mieux', 'à', 'faire', ',', 'M.', 'le', 'comte', '(', 'или', 'mon', 'prince', ')', ',', 'et', 'si', 'la', 'perspective', 'de', 'passer', 'la', 'soirée', 'chez', 'une', 'pauvre', 'malade', 'ne', 'vous', 'effraye', 'pas', 'trop', ',', 'je', 'serai', 'charmée', 'de', 'vous', 'voir', 'chez', 'moi', 'entre', '7', 'et', '10', 'heures', '.', 'Annette', 'Scherer', '»', '.']","['', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', '', 'ru', 'non-ru', 'non-ru', '', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', '', 'non-ru', '', 'non-ru', 'non-ru', '', '']",2,0,1
2,Том_1,1,1,"['—', 'Dieu', ',', 'quelle', 'virulente', 'sortie', '!', '—', 'отвечал', ',', 'нисколько', 'не', 'смутясь', 'такою', 'встречей', ',', 'вошедший', 'князь', ',', 'в', 'придворном', ',', 'шитом', 'мундире', ',', 'в', 'чулках', ',', 'башмаках', ',', 'и', 'звездах', ',', 'с', 'светлым', 'выражением', 'плоского', 'лица', '.']","['', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', '', '', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '']",1,0,1
3,Том_1,1,1,"['—', 'Avant', 'tout', 'dites', 'moi', ',', 'comment', 'vous', 'allez', ',', 'chère', 'amie', '?', 'Успокойте', 'меня', ',', '—', 'сказал', 'он', ',', 'не', 'изменяя', 'голоса', 'и', 'тоном', ',', 'в', 'котором', 'из', '-', 'за', 'приличия', 'и', 'участия', 'просвечивало', 'равнодушие', 'и', 'даже', 'насмешка', '.']","['', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', 'ru', 'ru', '', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",1,0,0
4,Том_1,1,1,"['—', 'Я', 'думала', ',', 'что', 'нынешний', 'праздник', 'отменен', '.', 'Je', 'vous', 'avoue', 'que', 'toutes', 'ces', 'fêtes', 'et', 'tous', 'ces', 'feux', 'd’artifice', 'commencent', 'à', 'devenir', 'insipides', '.']","['', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '']",1,0,0
5,Том_1,1,1,"['—', 'Ne', 'me', 'tourmentez', 'pas', '.', 'Eh', 'bien', ',', 'qu’a', '-', 't', '-', 'on', 'décidé', 'par', 'rapport', 'à', 'la', 'dépêche', 'de', 'Novosilzoff', '?', 'Vous', 'savez', 'tout', '.']","['', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', 'non-ru', '', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', '']",0,1,0
6,Том_1,1,1,"['—', 'Как', 'вам', 'сказать', '?', '—', 'сказал', 'князь', 'холодным', ',', 'скучающим', 'тоном', '.', '—', 'Qu’a', '-', 't', '-', 'on', 'décidé', '?', 'On', 'a', 'décidé', 'que', 'Buonaparte', 'a', 'brûlé', 'ses', 'vaisseaux', ',', 'et', 'je', 'crois', 'que', 'nous', 'sommes', 'en', 'train', 'de', 'brûler', 'les', 'notres', '.', '—']","['', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', '', 'non-ru', '', 'non-ru', '', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', '']",1,0,0
7,Том_1,1,1,"['—', 'Ах', ',', 'не', 'говорите', 'мне', 'про', 'Австрию', '!', 'Я', 'ничего', 'не', 'понимаю', ',', 'может', 'быть', ',', 'но', 'Австрия', 'никогда', 'не', 'хотела', 'и', 'не', 'хочет', 'войны', '.', 'Она', 'предает', 'нас', '.', 'Россия', 'одна', 'должна', 'быть', 'спасительницей', 'Европы', '.', 'Наш', 'благодетель', 'знает', 'свое', 'высокое', 'призвание', 'и', 'будет', 'верен', 'ему', '.', 'Вот', 'одно', ',', 'во', 'чтò', 'я', 'верю', '.', 'Нашему', 'доброму', 'и', 'чудному', 'государю', 'предстоит', 'величайшая', 'роль', 'в', 'мире', ',', 'и', 'он', 'так', 'добродетелен', 'и', 'хорош', ',', 'что', 'Бог', 'не', 'оставит', 'его', ',', 'и', 'он', 'исполнит', 'свое', 'призвание', 'задавить', 'гидру', 'революции', ',', 'которая', 'теперь', 'еще', 'ужаснее', 'в', 'лице', 'этого', 'убийцы', 'и', 'злодея', '.', 'Мы', 'одни', 'должны', 'искупить', 'кровь', 'праведника', '.', 'На', 'кого', 'нам', 'надеяться', ',', 'я', 'вас', 'спрашиваю', '?', '..', 'Англия', 'с', 'своим', 'коммерческим', 'духом', 'не', 'поймет', 'и', 'не', 'может', 'понять', 'всю', 'высоту', 'души', 'императора', 'Александра', '.', 'Она', 'отказалась', 'очистить', 'Мальту', '.', 'Она', 'хочет', 'видеть', ',', 'ищет', 'заднюю', 'мысль', 'наших', 'действий', '.', 'Чтò', 'они', 'сказали', 'Новосильцову', '?', '..', 'Ничего', '.', 'Они', 'не', 'поняли', ',', 'они', 'не', 'могут', 'понять', 'самоотвержения', 'нашего', 'императора', ',', 'который', 'ничего', 'не', 'хочет', 'для', 'себя', 'и', 'всё', 'хочет', 'для', 'блага', 'мира', '.', 'И', 'чтò', 'они', 'обещали', '?', 'Ничего', '.', 'И', 'чтò', 'обещали', ',', 'и', 'того', 'не', 'будет', '!', 'Пруссия', 'уже', 'объявила', ',', 'что', 'Бонапарте', 'непобедим', 'и', 'что', 'вся', 'Европа', 'ничего', 'не', 'может', 'против', 'него', '...', 'И', 'я', 'не', 'верю', 'ни', 'в', 'одном', 'слове', 'ни', 'Гарденбергу', ',', 'ни', 'Гаугвицу', '.', 'Cette', 'fameuse', 'neutralité', 'prussienne', ',', 'ce', 'n’est', 'qu’un', 'piège', '.', 'Я', 'верю', 'в', 'одного', 'Бога', 'и', 'в', 'высокую', 'судьбу', 'нашего', 'милого', 'императора', '.', 'Он', 'спасет', 'Европу', '!', '..', '—', 'Она', 'вдруг', 'остановилась', 'с', 'улыбкой', 'насмешки', 'над', 'своею', 'горячностью', '.']","['', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",2,0,0
8,Том_1,1,1,"['—', 'Сейчас', '.', 'A', 'propos', ',', '—', 'прибавила', 'она', ',', 'опять', 'успокоиваясь', ',', '—', 'нынче', 'у', 'меня', 'два', 'очень', 'интересные', 'человека', ',', 'le', 'vicomte', 'de', 'Mortemart', ',', 'il', 'est', 'allié', 'aux', 'Montmorency', 'par', 'les', 'Rohans', ',', 'одна', 'из', 'лучших', 'фамилий', 'Франции', '.', 'Это', 'один', 'из', 'хороших', 'эмигрантов', ',', 'из', 'настоящих', '.', 'И', 'потом', 'l’abbé', 'Morіo', ':', 'вы', 'знаете', 'этот', 'глубокий', 'ум', '?', 'Он', 'был', 'принят', 'государем', '.', 'Вы', 'знаете', '?']","['', 'ru', '', 'non-ru', 'non-ru', '', '', 'ru', 'ru', '', 'ru', 'ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '', 'ru', 'ru', 'non-ru', 'non-ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', '']",6,0,2
9,Том_1,1,1,"['—', 'А', '!', 'Я', 'очень', 'рад', 'буду', ',', '—', 'сказал', 'князь', '.', '—', 'Скажите', ',', '—', 'прибавил', 'он', ',', 'как', 'будто', 'только', 'что', 'вспомнив', 'чтò', '-', 'то', 'и', 'особенно', '-', 'небрежно', ',', 'тогда', 'как', 'то', ',', 'о', 'чем', 'он', 'спрашивал', ',', 'было', 'главною', 'целью', 'его', 'посещения', ',', '—', 'правда', ',', 'что', 'l’impératrice', '-', 'mère', 'желает', 'назначения', 'барона', 'Функе', 'первым', 'секретарем', 'в', 'Вену', '?', 'C’est', 'un', 'pauvre', 'sire', ',', 'ce', 'baron', ',', 'à', 'ce', 'qu’il', 'paraît', '.', '—', 'Князь', 'Василий', 'желал', 'определить', 'сына', 'на', 'это', 'место', ',', 'которое', 'через', 'императрицу', 'Марию', 'Феодоровну', 'старались', 'доставить', 'барону', '.']","['', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', 'ru', '', '', 'ru', '', '', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', '', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', '', '', 'ru', '', 'ru', 'non-ru', '', 'non-ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'non-ru', 'non-ru', 'non-ru', 'non-ru', '', 'non-ru', 'non-ru', '', '', 'non-ru', 'non-ru', 'non-ru', '', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', 'ru', '']",4,0,1
